image_path,source_dataset,original_label,disease_name,class_id,split
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_2313.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2531_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\cataract_081.png,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10569_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\1073_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\545.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\Glaucoma_014.png,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\11371_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1479.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_307_4576620.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_279_2310498.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10660_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_3091.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1213_left.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_69_3198217.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3168_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_2289.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\2197_right.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\159.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1328.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\636.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10722_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1458_right.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2740_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_276_1796806.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_305_3318957.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_48_5270520.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_320_5280427.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\466.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\206.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10562_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\180.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1626.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_16_8305794.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2470_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\208.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3113_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1218_left.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_331_8594715.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_101_9321817.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_168_4661031.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\11142_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\11593_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_3065.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_3164.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1695.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_167_1325871.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_151.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2661_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\212.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10974_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\475.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_359_8939038.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_3122.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\172.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10838_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2974_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\2216_right.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\11490_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\1197_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1843.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10587_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_325_168910.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\584.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10879_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_936.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\111_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\547.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\307.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2697_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10260_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10523_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2907_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1701.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_23_5187079.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\330.jpg,GlaucomaFundusImaging/ORIGA,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3222_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10206_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2443_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10727_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3444_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_150_2517277.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10755_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\583_left.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1165.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\10416_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\1049_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_23_9533792.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3319_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_1497.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3273_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\_208_7827214.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_365_8356754.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\cataract_026.png,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_777.jpg,GlaucomaFundusImaging/G1020,1,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\11476_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\glaucoma\1453_right.jpg,Eye Disease detection,glaucoma,Glaucoma,3,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2808_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\1269_right.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\1123_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\cataract_015.png,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\152.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_363.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\diabetic_retinopathy\11261_left.jpeg,Eye Disease detection,diabetic_retinopathy,Diabetic Retinopathy,2,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3419_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\2575_right.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\cataract\_90_4763455.jpg,Eye Disease detection,cataract,Cataract,1,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_2688.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\Eye Disease detection\normal\3044_left.jpg,Eye Disease detection,normal,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\021.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_2573.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\G1020\Images\image_2823.jpg,GlaucomaFundusImaging/G1020,0,Normal,0,train
d:\Practice Projects\Disease Detection\dataset\GlaucomaFundusImaging\ORIGA\Images\109.jpg,GlaucomaFundusImaging/ORIGA,0,Normal,0,train
